time,voltage,clean_voltage,noise,heart_rate_bpm,rhythm_class,baseline_noise_level,muscle_noise_level,powerline_noise_level,powerline_frequency
0.0,0.8237120600923835,0.8060936479952076,0.017618412097176017,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.002000400080016003,0.8243537453616796,0.8060935493719651,0.018260195989714564,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.004000800160032006,0.7941278628946601,0.8060928586199233,-0.011964995725263241,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.006001200240048009,0.8029438728282403,0.8060909826812273,-0.0031471098529869523,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.008001600320064013,0.821374692243972,0.8060873275914876,0.015287364652484377,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.010002000400080016,0.8205144344217842,0.8060812985924484,0.014433135829335794,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.012002400480096018,0.8266832278171118,0.8060723003829304,0.020610927434181317,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.014002800560112022,0.8191862145288367,0.8060597372042189,0.01312647732461776,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.016003200640128026,0.8366285968762978,0.8060430129230127,0.030585583953285013,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.01800360072014403,0.8331353965061548,0.8060215313598463,0.02711386514630846,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.020004000800160033,0.8225575401442957,0.8059946964160711,0.016562843728224558,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.022004400880176037,0.8311398756333981,0.805961912184253,0.02517796344914519,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.024004800960192037,0.8231083848596846,0.8059225831567531,0.017185801702931477,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.02600520104020804,0.8098898542182319,0.8058761145923825,0.004013739625849335,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.028005601120224044,0.8249697484128109,0.80582191261092,0.019147835801890944,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.030006001200240048,0.8136699552780421,0.8057593843674596,0.007910570910582424,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.03200640128025605,0.8349550299903798,0.8056879384378997,0.029267091552480175,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.03400680136027205,0.8255636050580939,0.8056069851365497,0.019956619921544173,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.03600720144028806,0.8225860599258636,0.8055159366802455,0.01707012324561819,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.03800760152030406,0.8142940915205976,0.8054142074132379,0.008879884107359709,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
0.040008001600320066,0.8306901830289931,0.8053012144141088,0.02538896861488428,75.0,Normal Sinus Rhythm,0.05,0.01,0.005,50
