time,voltage,clean_voltage,noise,heart_rate_bpm,rhythm_class,baseline_noise_level,muscle_noise_level,powerline_noise_level,powerline_frequency
0.0,0.8326144595087859,0.8060936479952076,0.02652081151357828,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.002000400080016003,0.8336985126349541,0.8060935493719651,0.027604963262989016,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.004000800160032006,0.8753487933265167,0.8060928586199233,0.06925593470659344,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.006001200240048009,0.8432228652444149,0.8060909826812273,0.037131882563187724,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.008001600320064013,0.8561487311463353,0.8060873275914876,0.05006140355484767,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.010002000400080016,0.855760834404269,0.8060812985924484,0.04967953581182064,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.012002400480096018,0.8068047149893568,0.8060723003829304,0.0007324146064263907,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.014002800560112022,0.8032973148731548,0.8060597372042189,-0.002762422331064036,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.016003200640128026,0.8716225427511869,0.8060430129230127,0.06557952982817417,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.01800360072014403,0.850471622427543,0.8060215313598463,0.04445009106769671,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.020004000800160033,0.8385041687133306,0.8059946964160711,0.032509472297259374,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.022004400880176037,0.8270545800626684,0.805961912184253,0.02109266787841548,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.024004800960192037,0.8304999688979828,0.8059225831567531,0.024577385741229696,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.02600520104020804,0.8094756406270293,0.8058761145923825,0.0035995260346467738,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.028005601120224044,0.8477181835237824,0.80582191261092,0.041896270912862354,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.030006001200240048,0.8137301991810921,0.8057593843674596,0.007970814813632454,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.03200640128025605,0.8579277578783926,0.8056879384378997,0.05223981944049295,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.03400680136027205,0.8349580590645994,0.8056069851365497,0.029351073928049726,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.03600720144028806,0.8280482664794089,0.8055159366802455,0.02253232979916344,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.03800760152030406,0.8424503178177423,0.8054142074132379,0.03703611040450444,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.040008001600320066,0.7931849657128343,0.8053012144141088,-0.012116248701274635,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.042008401680336066,0.838017650212293,0.8051763777299676,0.03284127248232542,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.04400880176035207,0.8307528950434482,0.8050391206545607,0.02571377438888743,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.04600920184036807,0.8493080991606305,0.8048888700309649,0.044419229129665665,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
0.048009601920384073,0.7965642958481318,0.8047250570581204,-0.008160761209988585,75.0,Normal Sinus Rhythm,0.1,0.02,0.01,60
